"","county","var(x_clear)"
"1",1,0.00081303884401695
"2",3,0.00502245740266395
"3",5,0.0372569420337603
"4",7,0.00116806936543109
"5",9,0.00368734999240515
"6",11,0.0675365205759458
"7",13,0.00468383463414474
"8",15,0.00458424479778736
"9",17,0.00168581964530802
"10",19,0.0148689849496436
"11",21,0.00124981271329124
"12",23,0.000585395070350073
"13",25,0.00416304644872082
"14",27,0.000480665195985797
"15",33,0.0167060846772906
"16",35,0.000849254042961871
"17",37,0.00234726460270762
"18",39,0.00573991421990903
"19",41,0.00588493106603124
"20",45,0.00017439744176599
"21",47,0.0264483724040607
"22",49,0.00405548891847852
"23",51,0.00931814087835104
"24",53,0.00735701329565728
"25",55,0.00465799032241416
"26",57,0.000639334920154472
"27",59,0.0100392248435048
"28",61,0.0043394845379987
"29",63,0.00568885151732077
"30",65,0.124785257025605
"31",67,0.00251693571746359
"32",69,0.00341570979305278
"33",71,0.00142129129719264
"34",77,0.000650754484824733
"35",79,0.0141575273489005
"36",81,0.00134424771061282
"37",83,0.00340522433315944
"38",85,0.000482668908668317
"39",87,0.00387843842259252
"40",89,0.0064334761442348
"41",91,0.00285636118939786
"42",93,0.00127390275253841
"43",97,0.000939058751138338
"44",99,0.0322283639949358
"45",101,0.0006486968814016
"46",105,0.00199300238754331
"47",107,0.000529686821224457
"48",109,0.00305400469290115
"49",111,0.0162069094262923
"50",113,0.00715326326838914
"51",115,0.0733666598915586
"52",117,0.116787220098293
"53",119,0.00638904950393103
"54",123,0.00400918790098802
"55",125,0.000765055667548272
"56",127,0.106774873467936
"57",129,0.00551723407625424
"58",131,0.0394916927124391
"59",133,0.00977339944321104
"60",135,0.00648613852285902
"61",137,0.0171992963270016
"62",139,0.0213589251725203
"63",141,2.89560469945957
"64",143,0.00881720789933613
"65",145,0.000334085291124554
"66",147,0.0112824436486437
"67",149,0.414273154547699
"68",151,0.019829314312303
"69",153,0.00197172174054053
"70",155,0.00249324641721361
"71",157,0.000701774357052874
"72",159,0.00399576398430687
"73",161,0.00500548738630739
"74",163,0.000536269246523232
"75",165,0.00487854512540477
"76",167,0.00102905604497171
"77",169,0.018195389347908
"78",171,0.00161598728675023
"79",173,0.0990821438236673
"80",175,0.290664232288852
"81",179,0.00160592150573479
"82",181,0.00137344619419628
"83",183,0.000466159139836861
"84",185,1.49245599661964
"85",187,0.0127184529517032
"86",189,0.00992988475207058
"87",191,0.000940410681714776
"88",193,0.00905295053310621
"89",195,0.215462355256996
"90",197,0.0125976357708743
